website,https_status,return_code,ip,size,ttl,response_time,exception
vpnarea.com,Blocked (Status Code: 521),0,"['104.26.5.240', '172.67.73.41', '104.26.4.240']",77,373,0.009902715682983398,False
dirp.app,Blocked - Client Error (Status Code: 403),0,"['188.114.96.7', '188.114.97.7']",58,373,0.1427457332611084,False
megapirate.net,Blocked - Client Error (Status Code: 403),0,"['172.67.138.128', '104.21.64.253']",64,372,0.15121006965637207,False
sbdns.co.in,Accessible (Status Code: 200),0,['144.24.149.74'],45,372,0.011436939239501953,False
suborbit.al,"Error: HTTPSConnectionPool(host='suborbit.al', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,"['104.21.55.94', '172.67.147.49']",61,373,0.031942129135131836,False
vpntunnel.se,"Error: HTTPSConnectionPool(host='vpntunnel.se', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,['104.168.144.189'],46,4497,0.007295131683349609,False
dirflix.net,Blocked - Client Error (Status Code: 403),0,"['104.21.53.47', '172.67.209.1']",61,372,0.009135961532592773,False
mediarepost.ru,Accessible (Status Code: 200),0,"['104.21.64.1', '104.21.112.1', '104.21.48.1', '104.21.16.1', '104.21.80.1', '104.21.96.1', '104.21.32.1']",144,372,0.006363868713378906,False
hidemyip.com,"Error: HTTPSConnectionPool(host='www.hidemyip.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,"['188.114.96.7', '188.114.97.7']",62,372,0.011200189590454102,False
markosweb.com,Accessible (Status Code: 200),0,"['104.21.112.1', '104.21.96.1', '104.21.32.1', '104.21.64.1', '104.21.16.1', '104.21.80.1', '104.21.48.1']",143,372,0.007342815399169922,False
dotls.org,"Error: HTTPSConnectionPool(host='dotls.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1129)')))",0,['154.21.93.142'],43,372,0.0077877044677734375,False
besteyecandy.com,"Error: HTTPSConnectionPool(host='besteyecandy.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,['178.72.21.145'],50,2247,0.007343769073486328,False
yilusk5.com,Accessible (Status Code: 200),0,"['104.21.58.116', '172.67.159.104']",61,372,0.009036064147949219,False
123proxy.cc,"Error: HTTPSConnectionPool(host='123proxy.cc', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,"['104.21.16.1', '104.21.64.1', '104.21.112.1', '104.21.96.1', '104.21.32.1', '104.21.48.1', '104.21.80.1']",141,372,0.008095026016235352,False
securevpn.pro,Accessible (Status Code: 200),0,"['104.21.76.61', '172.67.190.85']",63,372,0.009572029113769531,False
vpn.com,Blocked - Client Error (Status Code: 403),0,"['141.193.213.10', '141.193.213.11']",57,4497,0.00716090202331543,False
blaim.ru,Accessible (Status Code: 200),0,['46.4.119.162'],42,747,0.007381916046142578,False
piraproxy.info,"Error: HTTPSConnectionPool(host='piraproxy.info', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate in certificate chain (_ssl.c:1129)')))",0,"['172.67.180.240', '104.21.18.76']",64,372,0.0074579715728759766,False
onefree.info,Blocked - Client Error (Status Code: 403),0,"['104.21.80.1', '104.21.32.1', '104.21.112.1', '104.21.96.1', '104.21.64.1', '104.21.16.1', '104.21.48.1']",142,372,0.0064089298248291016,False
ip-hide.net,Accessible (Status Code: 200),0,"['188.114.97.7', '188.114.96.7']",61,372,0.007439136505126953,False
proxygalaxy.me,"Error: HTTPSConnectionPool(host='proxygalaxy.me', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7ff32c78c9d0>, 'Connection to proxygalaxy.me timed out. (connect timeout=3)'))",0,['78.142.29.116'],48,4497,0.008516073226928711,False
youhydra.net,Blocked - Client Error (Status Code: 403),0,"['188.114.97.7', '188.114.96.7']",62,372,0.005305051803588867,False
twoproxy.net,Blocked - Client Error (Status Code: 403),0,"['172.67.184.211', '104.21.59.228']",62,372,0.0053789615631103516,False
aishiteiru.moe,Accessible (Status Code: 200),0,['51.79.54.208'],48,747,0.005511045455932617,False
api-botads15.co.uk,Accessible (Status Code: 200),0,"['77980.bodis.com.', '199.59.243.227']",81,3489,0.006255149841308594,False
cmy.network,Blocked - Client Error (Status Code: 403),0,"['cmy.network.cdn.cloudflare.net.', '104.21.36.82', '172.67.190.171']",105,372,0.0062961578369140625,False
freetel.app,Accessible (Status Code: 200),0,['65.21.35.19'],45,4497,0.005651950836181641,False
freevpn.me,Accessible (Status Code: 200),0,"['188.114.97.7', '188.114.96.7']",60,372,0.012785196304321289,False
getsurfboard.com,Accessible (Status Code: 200),0,"['getsurfboard.github.io.', '185.199.108.153', '185.199.111.153', '185.199.110.153', '185.199.109.153']",134,4498,0.0069277286529541016,False
hexatechvpn.com,Blocked - Client Error (Status Code: 403),0,"['46.101.131.99', '138.68.101.1', '159.89.27.102', '138.68.77.102', '159.89.100.215', '46.101.131.214', '138.68.92.190']",145,72,0.005575895309448242,False
ihaojiahuo.top,Blocked - Client Error (Status Code: 403),0,"['20.2.1.141', '13.94.45.231', '20.2.170.254', '23.97.75.185', '52.175.32.100', '40.83.123.29']",128,372,0.01711583137512207,False
instavpn.com,Accessible (Status Code: 200),0,"['104.21.5.20', '172.67.132.192']",62,372,0.006412982940673828,False
masters-of-cloud.de,Accessible (Status Code: 200),0,['185.244.195.159'],53,4497,0.013730049133300781,False
multiproxy.info,"Error: HTTPSConnectionPool(host='multiproxy.info', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7ff32c4758e0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0,['otto.ns.cloudflare.com. dns.cloudflare.com. 2359635386 10000 2400 604800 1800'],95,1800,0.006880998611450195,False
