website,https_status,return_code,ip,size,ttl,response_time,exception
ajump1.com,"Error: HTTPSConnectionPool(host='ajump1.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f83cd765d90>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0,['ns-238.awsdns-29.com. awsdns-hostmaster.amazon.com. 1 7200 900 1209600 86400'],106,900,0.005040168762207031,False
freepctech.com,Accessible (Status Code: 200),0,"['172.67.192.84', '104.21.20.102']",64,370,0.0052340030670166016,False
89ip.cn,Blocked (Status Code: 521),0,"['6ec8c6d2.89ip.cn.cname.hcnamecdns.com.', '183.134.17.27', '183.134.17.125', '183.134.17.13']",124,33,0.0052187442779541016,False
unblocksite.in,Blocked - Client Error (Status Code: 403),0,"['104.21.68.138', '172.67.195.237']",64,370,0.005379915237426758,False
theproxy.ws,Blocked - Client Error (Status Code: 403),0,"['104.21.43.99', '172.67.178.3']",61,370,0.006116151809692383,False
vcontakte.ru,"Error: HTTPSConnectionPool(host='vcontakte.ru', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f83cd78fa30>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",0,['ns1.vkontakte.ru. ncc.vk.com. 3459619655 300 900 172800 300'],90,300,0.15501904487609863,False
unblock.ws,Blocked - Client Error (Status Code: 403),0,"['172.67.187.104', '104.21.48.172']",60,370,0.004224061965942383,False
unblocksite.pro,Blocked - Client Error (Status Code: 403),0,"['104.21.2.71', '172.67.128.223']",65,370,0.003928184509277344,False
zone.ne.jp,"Error: HTTPSConnectionPool(host='zone.ne.jp', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f83cd3e7100>, 'Connection to zone.ne.jp timed out. (connect timeout=3)'))",0,['122.220.195.88'],44,72,0.005891084671020508,False
toffy.lol,Accessible (Status Code: 200),0,"['104.21.48.1', '104.21.64.1', '104.21.80.1', '104.21.16.1', '104.21.112.1', '104.21.96.1', '104.21.32.1']",139,370,0.12787103652954102,False
dirproxy.app,Blocked - Client Error (Status Code: 403),0,"['104.21.16.1', '104.21.96.1', '104.21.32.1', '104.21.48.1', '104.21.64.1', '104.21.80.1', '104.21.112.1']",142,370,0.0037670135498046875,False
vpnarea.com,Blocked (Status Code: 521),0,"['172.67.73.41', '104.26.5.240', '104.26.4.240']",77,370,0.003622770309448242,False
dirp.app,Blocked - Client Error (Status Code: 403),0,"['104.21.67.45', '172.67.212.206']",58,370,0.00379180908203125,False
megapirate.net,Blocked - Client Error (Status Code: 403),0,"['104.21.64.253', '172.67.138.128']",64,370,0.0038170814514160156,False
sbdns.co.in,Accessible (Status Code: 200),0,['144.24.149.74'],45,370,0.003597259521484375,False
suborbit.al,Accessible (Status Code: 200),0,"['172.67.147.49', '104.21.55.94']",61,370,0.005819797515869141,False
vpntunnel.se,Accessible (Status Code: 200),0,['104.168.144.189'],46,4495,0.0035986900329589844,False
dirflix.net,Blocked - Client Error (Status Code: 403),0,"['104.21.53.47', '172.67.209.1']",61,370,0.0040130615234375,False
mediarepost.ru,Accessible (Status Code: 200),0,"['104.21.16.1', '104.21.96.1', '104.21.80.1', '104.21.48.1', '104.21.64.1', '104.21.32.1', '104.21.112.1']",144,370,0.0035986900329589844,False
hidemyip.com,Accessible (Status Code: 200),0,"['104.21.18.228', '172.67.183.221']",62,370,0.14017605781555176,False
markosweb.com,Accessible (Status Code: 200),0,"['104.21.112.1', '104.21.80.1', '104.21.64.1', '104.21.96.1', '104.21.32.1', '104.21.48.1', '104.21.16.1']",143,370,0.0034461021423339844,False
dotls.org,"Error: HTTPSConnectionPool(host='dotls.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1129)')))",0,['154.21.93.142'],43,370,0.0036830902099609375,False
besteyecandy.com,Accessible (Status Code: 200),0,['178.72.21.145'],50,2245,0.00484466552734375,False
yilusk5.com,Accessible (Status Code: 200),0,"['104.21.58.116', '172.67.159.104']",61,370,0.0032110214233398438,False
123proxy.cc,Blocked - Client Error (Status Code: 403),0,"['104.21.96.1', '104.21.64.1', '104.21.48.1', '104.21.80.1', '104.21.112.1', '104.21.32.1', '104.21.16.1']",141,370,0.002624034881591797,False
securevpn.pro,Accessible (Status Code: 200),0,"['172.67.190.85', '104.21.76.61']",63,370,0.003401041030883789,False
vpn.com,Blocked - Client Error (Status Code: 403),0,"['141.193.213.10', '141.193.213.11']",57,4495,0.12774205207824707,False
blaim.ru,Accessible (Status Code: 200),0,['46.4.119.162'],42,745,0.004235029220581055,False
piraproxy.info,Blocked - Client Error (Status Code: 403),0,"['104.21.18.76', '172.67.180.240']",64,370,0.0034313201904296875,False
onefree.info,Blocked - Client Error (Status Code: 403),0,"['104.21.32.1', '104.21.16.1', '104.21.112.1', '104.21.48.1', '104.21.80.1', '104.21.96.1', '104.21.64.1']",142,370,0.003320932388305664,False
ip-hide.net,Accessible (Status Code: 200),0,"['104.21.17.139', '172.67.176.208']",61,370,0.004300117492675781,False
